,Pregunta,Intencion,Pregunta_new,Pregunta_corregida
13892,si la casa es prefabricada puedo solicitar tu prestamo?,Cat_214,si la casa es prefabricada puedo solicitar tu prestamo,si la casa es prefabricada puedo solicitar tu prestamo
13893,necesito telefono comunicarme banco,Cat_147,necesito telefono comunicarme banco,necesito telefono comunicarme banco
13894,encontré compras en mi tarjeta pero yo no las hice  que hago?,Cat_112,encontré compras en mi tarjeta pero yo no las hice  que hago,encontré compras en mi tarjeta pero yo no las hice que hago
13895,cuanto tiempo demora el banco en otorgarte el préstamo personal?,Cat_243,cuanto tiempo demora el banco en otorgarte el préstamo personal,cuanto tiempo demora el banco en otorgarte el préstamo personal
13896,si no tengo para pagar las cuotas que faltan  puedo vender el auto?,Cat_260,si no tengo para pagar las cuotas que faltan  puedo vender el auto,si no tengo para pagar las cuotas que faltan puedo vender el auto
13897,debitar pagar automatico tarjeta credito,Cat_38,debitar pagar automatico tarjeta credito,debitar pagar automatico tarjeta credito
13898,queria saber que requisitos se necesitan para aplicar al ccredito?,Cat_248,queria saber que requisitos se necesitan para aplicar al ccredito,quera saber que requisitos se necesitan para aplicar al credito
13899,querer salir encontrar salir menu principal,Cat_0,querer salir encontrar salir menu principal,querer salir encontrar salir menu principal
13900,cual es tu comida favorita,Cat_9,cual es tu comida favorita,cual es tu comida favorita
13901,me ofrecieron cambiar mi cuenta a otra sucursal y no estoy interesado.,Cat_74,me ofrecieron cambiar mi cuenta a otra sucursal y no estoy interesado,me ofrecieron cambiar mi cuenta a otra sucursal y no estoy interesado
13902,pedi tres veces la tarjeta via con chip me mandan la comun no me sirve,Cat_316,pedi tres veces la tarjeta via con chip me mandan la comun no me sirve,peni tres veces la tarjeta via con chip me mandan la comun no me sirve
13903,queria averiguar por los prestamos personales,Cat_225,queria averiguar por los prestamos personales,quera averiguar por los prestamos personales
13904,quiero denunciar robo de cheque,Cat_48,quiero denunciar robo de cheque,quiero denunciar robo de cheque
13905,mi tarjeta de debito nueva nunca me mandan devuelta.,Cat_293,mi tarjeta de debito nueva nunca me mandan devuelta,mi tarjeta de debito nueva nunca me mandan devuelta
13906,quiero consultar mis puntos superclub,Cat_325,quiero consultar mis puntos superclub,quiero consultar mis puntos superclub
13907,todos los meses me estan descontando pesos de algo llamado regalo sorpresa o algo asi yo no lo pedi,Cat_320,todos los meses me estan descontando pesos de algo llamado regalo sorpresa o algo asi yo no lo pedi,todos los meses me restan descontando pesos de algo llamado regalo sorpresa o algo asi yo no lo peni
13908,necesito rescatar el dinero que tengo en el fondo,Cat_172,necesito rescatar el dinero que tengo en el fondo,necesito rescatar el dinero que tengo en el fondo
13909,queria saber por que no se me desconto la cuota del prestamo,Cat_239,queria saber por que no se me desconto la cuota del prestamo,quera saber por que no se me desconton la cuota del prestamo
13910,hice una transferencia y no me debitaron el dinero,Cat_80,hice una transferencia y no me debitaron el dinero,hice una transferencia y no me debitaron el dinero
13911,como se activan los comodines de ahorro?,Cat_322,como se activan los comodines de ahorro,como se activan los comodines de ahorro
13912,ccredito segunda vivienda,Cat_228,ccredito segunda vivienda,credito segunda vivienda
13913,que requisitos están pidiendo para los plazos fijos?,Cat_183,que requisitos están pidiendo para los plazos fijos,que requisitos están pidiendo para los plazos fijos
13914,reclamar tarjeta llegar,Cat_293,reclamar tarjeta llegar,reclamar tarjeta llegar
13915,me hicieron un deposito y no me figura que tengo plata,Cat_109,me hicieron un deposito y no me figura que tengo plata,me hicieron un deposito y no me figura que tengo plata
13916,prestamos para monotributistas tienen?,Cat_248,prestamos para monotributistas tienen,prestamos para monotributistas tienen
13917,por que no se me visualizan las acciones?,Cat_188,por que no se me visualizan las acciones,por que no se me visualizan las acciones
13918,efectuar compromiso pago productos atrasados,Cat_191,efectuar compromiso pago productos atrasados,efectuar compromiso pago productos atrasados
13919,gustar ver estado distribución plástico,Cat_293,gustar ver estado distribución plástico,gustar ver estado distribución plástico
13920,hay que anotarse en un sorteo para procrear?,Cat_200,hay que anotarse en un sorteo para procrear,hay que anotarse en un sorteo para procrear
13921,estan otorgando prestamos hipotecarios para construccion ?,Cat_228,estan otorgando prestamos hipotecarios para construccion ,restan otorgando prestamos hipotecarios para construccion
13922,puedo dar de baja mi cuenta si tengo un prestamo pendiente,Cat_41,puedo dar de baja mi cuenta si tengo un prestamo pendiente,puedo dar de baja mi cuenta si tengo un prestamo pendiente
13923,ya no cobro más la asignación?,Cat_37,ya no cobro más la asignación,ya no cobro mis la asignación
13924,interesa abrir recibir sueldo,Cat_39,interesa abrir recibir sueldo,interesa abrir recibir sueldo
13925,nesesito un prestamo,Cat_223,nesesito un prestamo,necesito un prestamo
13926,para blanquear la clave de debito. necesito asistencia de personal del banco?,Cat_288,para blanquear la clave de debito necesito asistencia de personal del banco,para blanquear la clave de debito necesito asistencia de personal del banco
13927,grax,Cat_18,grax,gras
13928,necesito completar el formulario para la cuenta sueldo. donde lo encuentro ?,Cat_72,necesito completar el formulario para la cuenta sueldo donde lo encuentro ,necesito completar el formulario para la cuenta sueldo donde lo encuentro
13929,hasta que hora se hacen los plazo fijos por el home banking,Cat_181,hasta que hora se hacen los plazo fijos por el home banking,hasta que hora se hacen los plazo fijos por el home bancking
13930,como hago para hablar x una deuda,Cat_194,como hago para hablar x una deuda,como hago para hablar x una deuda
13931,porque no se me realiza el debito automatico de epec,Cat_129,porque no se me realiza el debito automatico de epec,porque no se me realiza el debito automatico de per
13932,telefono para comunicarme con banco rio,Cat_147,telefono para comunicarme con banco rio,telefono para comunicarme con banco rio
13933,donde encuentro la opcion token de seguridad en la app de online banking?,Cat_5,donde encuentro la opcion token de seguridad en la app de online banking,donde encuentro la opcion token de seguridad en la app de online bancking
13934,estoy tratando de cambiar el usuario desde hace dias y no puedo,Cat_1,estoy tratando de cambiar el usuario desde hace dias y no puedo,estoy tratando de cambiar el usuario desde hace dia y no puedo
13935,para sacar un préstamo hipotecario se puede sacar el préstamo a mi nombre estando el terreno a nombre de mi marido?,Cat_256,para sacar un préstamo hipotecario se puede sacar el préstamo a mi nombre estando el terreno a nombre de mi marido,para sacar un préstamo hipotecario se puede sacar el préstamo a mi nombre estando el terreno a nombre de mi marido
13936,incorrecto dato personal poliza,Cat_267,incorrecto dato personal poliza,incorrecto dato personal poliza
13937,querer abonar tarjeta visa amex,Cat_342,querer abonar tarjeta visa amex,querer abonar tarjeta visa amex
13938,necesito saber que quiere decir cheque rechasado,Cat_47,necesito saber que quiere decir cheque rechasado,necesito saber que quiere decir cheque rechazado
13939,sueldo mensual sacar tarjeta credito,Cat_337,sueldo mensual sacar tarjeta credito,sueldo mensual sacar tarjeta credito
13940,queremos comprar un camion iveco 0km como seria el prestamo y la cuota ya que el valor es de,Cat_251,queremos comprar un camion iveco numberkm como seria el prestamo y la cuota ya que el valor es de,queremos comprar un camion eco number como seria el prestamo y la cuota ya que el valor es de
13941,queria saber cómo es el descuento en recarga de tarjeta saeta?,Cat_311,queria saber cómo es el descuento en recarga de tarjeta saeta,quera saber como es el descuento en recarga de tarjeta saeta
13942,no me llamen mas,Cat_136,no me llamen mas,no me llamen mas
13943,quiero saber si puedo sacar un prestamo,Cat_248,quiero saber si puedo sacar un prestamo,quiero saber si puedo sacar un prestamo
13944,no me hicieron descuento santander sorpresa   compra del con tarjeta amex,Cat_312,no me hicieron descuento santander sorpresa   compra del con tarjeta amex,no me hicieron descuento santander sorpresa compra del con tarjeta amex
13945,hacer una simulacion,Cat_251,hacer una simulacion,hacer una simulacion
13946,regularizo deuda,Cat_192,regularizo deuda,regularizo deuda
13947,como quedo mi fci,Cat_172,como quedo mi fci,como quedo mi fci
13948,quisiera saber si ustedes podrian comunicarse conmigo telefónicamente?,Cat_134,quisiera saber si ustedes podrian comunicarse conmigo telefónicamente,quisiera saber si ustedes podrido comunicarse conmigo telefónicamente
13949,necesito el número de seguros,Cat_147,necesito el número de seguros,necesito el número de seguros
13950,quiero impugnar una compra,Cat_112,quiero impugnar una compra,quiero impugnar una compra
13951,hay q abonar por mes teniendo la tarjeta de estudiantes?,Cat_359,hay q abonar por mes teniendo la tarjeta de estudiantes,hay q abonar por mes teniendo la tarjeta de estudiantes
13952,mi extension de tarjeta no llego y quiero hacer un reclamo,Cat_293,mi extension de tarjeta no llego y quiero hacer un reclamo,mi extension de tarjeta no llego y quiero hacer un reclamo
13953,me olvidé la clave alfanumerica.,Cat_288,me olvidé la clave alfanumerica,me olvide la clave alfanumerica
13954,no veo las chances del sorteo,Cat_143,no veo las chances del sorteo,no veo las chances del sorteo
13955,simulador de plazo fijo,Cat_181,simulador de plazo fijo,simulador de plazo fijo
13956,no me llegue el resumen y no puedo entrar en hombanking. tengo que sacar una clave en cajero?,Cat_3,no me llegue el resumen y no puedo entrar en hombanking tengo que sacar una clave en cajero,no me llegue el resumen y no puedo entrar en homebanking tengo que sacar una clave en cajero
13957,como recordar la clave de mi tarjeta de debito,Cat_288,como recordar la clave de mi tarjeta de debito,como recordar la clave de mi tarjeta de debito
13958,queria solicitar un préstamo,Cat_223,queria solicitar un préstamo,quera solicitar un préstamo
13959,banco salir,Cat_39,banco salir,banco salir
13960,obtener resumen inversión cuenta fecho determinar,Cat_188,obtener resumen inversión cuenta fecho determinar,obtener resumen inversión cuenta fecho determinar
13961,no adherí esto al da y me lo están cobrando,Cat_292,no adherí esto al da y me lo están cobrando,no adherí esto al da y me lo están cobrando
13962,cómo cobro una divisa?,Cat_165,cómo cobro una divisa,como cobro una divisa
13963,tengo algún beneficio en préstamos por ser cliente?,Cat_221,tengo algún beneficio en préstamos por ser cliente,tengo algún beneficio en prestamos por ser cliente
13964,cuanto estoy pagando de seguro?,Cat_269,cuanto estoy pagando de seguro,cuanto estoy pagando de seguro
13965,no me llega la solicitud de debin,Cat_54,no me llega la solicitud de debin,no me llega la solicitud de deben
13966,como puedo saber si tengo una tarjeta de credito aprobada por el banco,Cat_118,como puedo saber si tengo una tarjeta de credito aprobada por el banco,como puedo saber si tengo una tarjeta de credito aprobada por el banco
13967,de que se trata la tarjera woman,Cat_357,de que se trata la tarjera woman,de que se trata la tarjera woman
13968,como cambio la contraseña,Cat_1,como cambio la contraseña,como cambio la contraseña
13969,sobre retenciones de ingresos brutos  como funciona?,Cat_122,sobre retenciones de ingresos brutos  como funciona,sobre retenciones de ingresos brutos como funciona
13970,tengo que comprar el vehiculo en una agencia o puede ser a un particular,Cat_228,tengo que comprar el vehiculo en una agencia o puede ser a un particular,tengo que comprar el vehiculo en una agencia o puede ser a un particular
13971,aviso consumo,Cat_125,aviso consumo,aviso consumo
13972,calendario de pagos,Cat_93,calendario de pagos,calendario de pagos
13973,me robaron después de salir del cajero,Cat_265,me robaron después de salir del cajero,me robaron después de salir del cajero
13974,necesito saber si tengo deuda en el banco,Cat_99,necesito saber si tengo deuda en el banco,necesito saber si tengo deuda en el banco
13975,cambiar clave usuario,Cat_1,cambiar clave usuario,cambiar clave usuario
13976,soy responsable inscripto. puedo acceder a las lineas de préstamos hipotecarios?,Cat_248,soy responsable inscripto puedo acceder a las lineas de préstamos hipotecarios,soy responsable inscripto puedo acceder a las lineal de prestamos hipotecarios
13977,tengo asinacion x hijo dan prestamo soy clienta del banco,Cat_248,tengo asinacion x hijo dan prestamo soy clienta del banco,tengo afinacion x hijo dan prestamo soy clienta del banco
13978,xq no me permite sacar un préstamo por online banking,Cat_197,xq no me permite sacar un préstamo por online banking,sq no me permite sacar un préstamo por online bancking
13979,querer cargar tarjeta sube,Cat_132,querer cargar tarjeta sube,querer cargar tarjeta sube
13980,una persona entro a mi local y me sustrajo ropa  lo vi por las cámaras  me cubre?,Cat_265,una persona entro a mi local y me sustrajo ropa  lo vi por las cámaras  me cubre,una persona entro a mi local y me sustrajo ropa lo vi por las cámaras me cubre
13981,que sucursal tiene cajeros con dolares?,Cat_91,que sucursal tiene cajeros con dolares,que sucursal tiene cajeros con dolar
13982,existe un límite para extraer por caja?,Cat_128,existe un límite para extraer por caja,existe un limite para extraer por caja
13983,me gustaría que me envíen el resumen de cuenta,Cat_138,me gustaría que me envíen el resumen de cuenta,me gustaría que me envíen el resumen de cuenta
13984,porque no me aparece el pedido realizado de letes,Cat_187,porque no me aparece el pedido realizado de letes,porque no me aparece el pedido realizado de letes
13985,tiene costo usar extracash,Cat_296,tiene costo usar extracash,tiene costo usar extrabase
13986,tengo que inhabilitar la tarjeta de beneficios del diario.,Cat_280,tengo que inhabilitar la tarjeta de beneficios del diario,tengo que inhabilitar la tarjeta de beneficios del diario
13987,tracking tarjeta,Cat_293,tracking tarjeta,tracking tarjeta
13988,tarjeta debitar algun costo fijo mensual,Cat_96,tarjeta debitar algun costo fijo mensual,tarjeta debitar algun costo fijo mensual
13989,por que sigo con la tarjeta bloqueada si ya les pagué?,Cat_314,por que sigo con la tarjeta bloqueada si ya les pagué,por que sigo con la tarjeta bloqueada si ya les pague
13990,por que me cobran ese impuesto sircreb?,Cat_122,por que me cobran ese impuesto sircreb,por que me cobran ese impuesto sircare
13991,cajero banelco retener tarjeta descontar dinero entregar comprobante dinero solicitar,Cat_297,cajero banelco retener tarjeta descontar dinero entregar comprobante dinero solicitar,cajero caneco retener tarjeta descontar dinero entregar comprobante dinero solicitar
13992,el escribano es del banco?,Cat_207,el escribano es del banco,el escribano es del banco
13993,quisiera q me envíen mi tarjeta para q la retire en la sucursal de villa allende. córdoba,Cat_318,quisiera q me envíen mi tarjeta para q la retire en la sucursal de villa allende córdoba,quisiera q me envíen mi tarjeta para q la retire en la sucursal de villa allende córdoba
13994,cerrar cuenta tengo tener todo al dia,Cat_41,cerrar cuenta tengo tener todo al dia,cerrar cuenta tengo tener todo al dia
13995,cuantas millas sumo por mis compras?,Cat_274,cuantas millas sumo por mis compras,cuantas millas sumo por mis compras
13996,me podrian decir cual sería el vencimiento de la próxima liquidación?,Cat_341,me podrian decir cual sería el vencimiento de la próxima liquidación,me podrido decir cual serba el vencimiento de la próxima liquidación
13997,para dar de baja la credencial de 365 como debo hacer,Cat_280,para dar de baja la credencial de number como debo hacer,para dar de baja la credencial de number como debo hacer
13998,día de licitación de bonos,Cat_156,día de licitación de bonos,día de licitación de bonos
13999,forma abono deuda,Cat_192,forma abono deuda,forma abono deuda
14000,cobrar afip cuenta,Cat_115,cobrar afip cuenta,cobrar afip cuenta
14001,puedo sacar la clave fiscal por el cajero,Cat_95,puedo sacar la clave fiscal por el cajero,puedo sacar la clave fiscal por el cajero
14002,dudar movimiento cuenta,Cat_115,dudar movimiento cuenta,dudar movimiento cuenta
14003,estoy cansada de sus llamados molestos,Cat_136,estoy cansada de sus llamados molestos,estoy cansada de sus llamados molestos
14004,tengo que hacer una transferencia por pesos y no me permitía online b,Cat_80,tengo que hacer una transferencia por pesos y no me permitía online b,tengo que hacer una transferencia por pesos y no me permita online b
14005,cuantos años tenes?,Cat_17,cuantos años tenes,cuantos año tenes
14006,quiero un prestamo para comprarme un 0 km,Cat_223,quiero un prestamo para comprarme un number km,quiero un prestamo para comprarme un number km
14007,forros! quiero poder rescatar los fci que tengo!,Cat_172,forros quiero poder rescatar los fci que tengo,forro quiero poder rescatar los fci que tengo
14008,no llegar plastico nuevo tarjeta,Cat_293,no llegar plastico nuevo tarjeta,no llegar plastico nuevo tarjeta
14009,quiero saber que tiempo tengo hasta la aprobacion del préstamo personal,Cat_243,quiero saber que tiempo tengo hasta la aprobacion del préstamo personal,quiero saber que tiempo tengo hasta la aprobacion del préstamo personal
14010,me están pidiendo en otro banco un certificado de libre de deuda,Cat_64,me están pidiendo en otro banco un certificado de libre de deuda,me están pidiendo en otro banco un certificado de libre de deuda
14011,quiero hacer el pago puntual de la tarjeta,Cat_342,quiero hacer el pago puntual de la tarjeta,quiero hacer el pago puntual de la tarjeta
14012,quiero que me hagan una devolución de una transferencia,Cat_82,quiero que me hagan una devolución de una transferencia,quiero que me hagan una devolución de una transferencia
14013,tuve un siniestro hace varios dias y todavia nose nada,Cat_270,tuve un siniestro hace varios dias y todavia nose nada,tuve un siniestro hace varios dia y todavia tose nada
14014,nesesito la clave del cajero o nip y no lo tengo,Cat_288,nesesito la clave del cajero o nip y no lo tengo,necesito la clave del cajero o vip y no lo tengo
14015,quiero la tarjeta,Cat_337,quiero la tarjeta,quiero la tarjeta
14016,en que sucursal puedo certificar mi firma?,Cat_94,en que sucursal puedo certificar mi firma,en que sucursal puedo certificar mi firma
14017,yo puedo elegir la escribania?,Cat_207,yo puedo elegir la escribania,yo puedo elegir la escribania
14018,comunicarme cobranzas exterior,Cat_194,comunicarme cobranzas exterior,comunicarme cobranzas exterior
14019,que servicios tengo en debito automatico,Cat_93,que servicios tengo en debito automatico,que servicios tengo en debito automatico
14020,donde encuentro los resumes de tarjeta,Cat_138,donde encuentro los resumes de tarjeta,donde encuentro los resumes de tarjeta
14021,quiero un cred para comprar un auto,Cat_223,quiero un cred para comprar un auto,quiero un red para comprar un auto
14022,para acceder al procrear tengo que acreditar sueldo en el santander,Cat_238,para acceder al procrear tengo que acreditar sueldo en el santander,para acceder al procrear tengo que acreditar sueldo en el santander
14023,la cuota del préstamo uva se va actualizando?,Cat_219,la cuota del préstamo uva se va actualizando,la cuota del préstamo uva se va actualizando
14024,tendra cargos adicionales recibir una transferencia del exterior?,Cat_31,tendra cargos adicionales recibir una transferencia del exterior,tendera cargos adicionales recibir una transferencia del exterior
14025,se puede agregar grupo familiar para aumentar el monto de préstamo hipotecario uvas,Cat_254,se puede agregar grupo familiar para aumentar el monto de préstamo hipotecario uvas,se puede agregar grupo familiar para aumentar el monto de préstamo hipotecario uvas
14026,como modificar las claves de la tarjeta de debito,Cat_288,como modificar las claves de la tarjeta de debito,como modificar las claves de la tarjeta de debito
14027,querer bajo,Cat_41,querer bajo,querer bajo
14028,voy a quejarme,Cat_133,voy a quejarme,voy a quejarme
14029,quiero acceder a super club,Cat_299,quiero acceder a super club,quiero acceder a super club
14030,estoy interesada en tener un plazo fijo en pesos. quisiera saber cómo tendría que hacer,Cat_181,estoy interesada en tener un plazo fijo en pesos quisiera saber cómo tendría que hacer,estoy interesada en tener un plazo fijo en pesos quisiera saber como tendría que hacer
14031,solicitar información del estado de envio de la tarjeta de debito,Cat_293,solicitar información del estado de envio de la tarjeta de debito,solicitar información del estado de envio de la tarjeta de debito
14032,tengo seguro de desempleo zurich como lo cobro?,Cat_265,tengo seguro de desempleo zurich como lo cobro,tengo seguro de desempleo zurich como lo cobro
14033,condiciones generales de prestamos hipotecarios,Cat_225,condiciones generales de prestamos hipotecarios,condiciones generales de prestamos hipotecarios
14034,costo de cuenta titulo,Cat_96,costo de cuenta titulo,costo de cuenta titulo
14035,se encuentra abierto el banco,Cat_114,se encuentra abierto el banco,se encuentra abierto el banco
14036,estoy generando nueva clave y nombre de usuario y no logro terminar con esto,Cat_1,estoy generando nueva clave y nombre de usuario y no logro terminar con esto,estoy generando nueva clave y nombre de usuario y no logro terminar con esto
14037,pagar resumen terjeta santander visa,Cat_342,pagar resumen terjeta santander visa,pagar resumen tarjeta santander visa
14038,no me enviaron la tarjeta,Cat_293,no me enviaron la tarjeta,no me enviaron la tarjeta
14039,cuanto es la tasa de interes de plazo fijo,Cat_183,cuanto es la tasa de interes de plazo fijo,cuanto es la tasa de interes de plazo fijo
14040,necesitar monto deber tarjeta,Cat_342,necesitar monto deber tarjeta,necesitar monto deber tarjeta
14041,yo no consigo hacer transferencias por la aplicacion. ya habilite el token en el cajero automatico y todo pero al intentar hacer la transferencia me pide que configure transferencia para terceros o algo asiy yo no se donde habilitar eso,Cat_79,yo no consigo hacer transferencias por la aplicacion ya habilite el token en el cajero automatico y todo pero al intentar hacer la transferencia me pide que configure transferencia para terceros o algo asiy yo no se donde habilitar eso,yo no consigo hacer transferencias por la aplicacion ya habilite el token en el cajero automatico y todo pero al intentar hacer la transferencia me pide que configure transferencia para terceros o algo asin yo no se donde habilitar eso
14042,un mail diciendome q me faltaba abonar la tarjeta,Cat_193,un mail diciendome q me faltaba abonar la tarjeta,un mail diciendo q me faltaba abonar la tarjeta
14043,para habilitar las carga virtuales sube,Cat_132,para habilitar las carga virtuales sube,para habilitar las carga virtuales sube
14044,estoy necesitando una tarjeta de debito,Cat_39,estoy necesitando una tarjeta de debito,estoy necesitando una tarjeta de debito
14045,como hago para tener más cobertura?,Cat_268,como hago para tener más cobertura,como hago para tener mis cobertura
14046,necesito cambiar el lugar de retiro de chequera,Cat_46,necesito cambiar el lugar de retiro de chequera,necesito cambiar el lugar de retiro de chequera
14047,el préstamo prendario es en pesos?,Cat_225,el préstamo prendario es en pesos,el préstamo prendario es en pesos
14048,por donde hay que pasar a buscar la chequera?,Cat_45,por donde hay que pasar a buscar la chequera,por donde hay que pasar a buscar la chequera
14049,que precio está advantage por año?,Cat_276,que precio está advantage por año,que precio esto advantage por año
14050,necesito modificar la suscripción al diario clarín,Cat_280,necesito modificar la suscripción al diario clarín,necesito modificar la suscripción al diario clarín
14051,dan préstamo a jubilados?,Cat_234,dan préstamo a jubilados,dan préstamo a jubilados
14052,mail de contacto con el banco?,Cat_29,mail de contacto con el banco,mail de contacto con el banco
14053,solicitar bajo,Cat_41,solicitar bajo,solicitar bajo
14054,costos caja de ahorro,Cat_96,costos caja de ahorro,costos caja de ahorro
14055,necesito un numero de telefono para consultar mi saldo,Cat_50,necesito un numero de telefono para consultar mi saldo,necesito un numero de telefono para consultar mi saldo
14056,como sabes cuantos puntos superclub tenes??,Cat_325,como sabes cuantos puntos superclub tenes,como sabes cuantos puntos superclub tenes
14057,telefónico debitar automatico visa pasar vencimiento pagar,Cat_129,telefónico debitar automatico visa pasar vencimiento pagar,telefónico debitar automatico visa pasar vencimiento pagar
14058,en que sucursal tengo la cuenta,Cat_100,en que sucursal tengo la cuenta,en que sucursal tengo la cuenta
14059,cual es el numero de telefono?,Cat_147,cual es el numero de telefono,cual es el numero de telefono
14060,el numero de asistencia de cerrajeria?,Cat_265,el numero de asistencia de cerrajeria,el numero de asistencia de cerrajeria
14061,tengo la tarjeta inhabilitada por ingresar datos erroneos que tengo que hacer para poder usarla nuevamente?,Cat_288,tengo la tarjeta inhabilitada por ingresar datos erroneos que tengo que hacer para poder usarla nuevamente,tengo la tarjeta inhabilitada por ingresar datos erroneo que tengo que hacer para poder usarla nuevamente
14062,necesitara la cotización de dos seguro de celular dos samsung un s y un a plus,Cat_261,necesitara la cotización de dos seguro de celular dos samsung un s y un a plus,necesitara la cotización de dos seguro de celular dos samsung un s y un a plus
14063,que pasa si el préstamo personal lo quiero pedir con mi marido?,Cat_254,que pasa si el préstamo personal lo quiero pedir con mi marido,que pasa si el préstamo personal lo quiero pedir con mi marido
14064,como activo la cobertura de viajero?,Cat_282,como activo la cobertura de viajero,como activo la cobertura de viajero
14065,poner edesur visa,Cat_132,poner edesur visa,poner edesur visa
14066,no esta acreditado el dinero de la pension que cobro,Cat_37,no esta acreditado el dinero de la pension que cobro,no esta acreditado el dinero de la pension que cobro
14067,mi cuenta corriente dice que tengo disponible.este dinero puedo retirarlo?,Cat_298,mi cuenta corriente dice que tengo disponibleeste dinero puedo retirarlo,mi cuenta corriente dice que tengo disponibleeste dinero puedo retirarlo
14068,telefonos banco,Cat_147,telefonos banco,telefono banco
14069,transferí dolares a mi cuenta de afuera y no los recibí,Cat_33,transferí dolares a mi cuenta de afuera y no los recibí,transferí dolar a mi cuenta de afuera y no los recibí
14070,mis inversiones no aparecen en online banking.,Cat_187,mis inversiones no aparecen en online banking,mis inversiones no aparecen en online bancking
14071,ok cual es el nro de comprobante de la transferencia que realice?,Cat_98,ok cual es el nro de comprobante de la transferencia que realice,ok cual es el nro de comprobante de la transferencia que realice
14072,hasta ayer no tenia limite disponible porque visa no habia tomado mi pago realizo,Cat_279,hasta ayer no tenia limite disponible porque visa no habia tomado mi pago realizo,hasta ayer no tenia limite disponible porque visa no habla tomado mi pago realizo
14073,quiero información sobre letes,Cat_159,quiero información sobre letes,quiero información sobre letes
14074,el préstamo hipotecario sirve para ampliación?,Cat_228,el préstamo hipotecario sirve para ampliación,el préstamo hipotecario sirve para ampliación
14075,si reservo por booking un hotel en el exterior. se aplica el 30%?,Cat_289,si reservo por booking un hotel en el exterior se aplica el number,si reservo por boeing un hotel en el exterior se aplica el number
14076,descontar pagar tarjeta debitar automatico,Cat_38,descontar pagar tarjeta debitar automatico,descontar pagar tarjeta debitar automatico
14077,quiero saber para ver cuando me reintegran,Cat_312,quiero saber para ver cuando me reintegran,quiero saber para ver cuando me reintegran
14078,quiero saber como hacer para adherirse al contrato para hacer transferencia,Cat_79,quiero saber como hacer para adherirse al contrato para hacer transferencia,quiero saber como hacer para adherirse al contrato para hacer transferencia
14079,no puedo operar porque me figura como bloqueada la cuenta título,Cat_170,no puedo operar porque me figura como bloqueada la cuenta título,no puedo operar porque me figura como bloqueada la cuenta títulos
14080,limite dolar visa american expres,Cat_303,limite dolar visa american expres,limite dolar visa america expres
14081,tengo la cuenta bloqueada,Cat_51,tengo la cuenta bloqueada,tengo la cuenta bloqueada
14082,para tener un seguro con ustedes. tengo que tener cuenta?,Cat_261,para tener un seguro con ustedes tengo que tener cuenta,para tener un seguro con ustedes tengo que tener cuenta
14083,puedo acceder a un prestamo hipotecario uva para construir?,Cat_228,puedo acceder a un prestamo hipotecario uva para construir,puedo acceder a un prestamo hipotecario uva para construir
14084,cual es el numero de super linea?,Cat_147,cual es el numero de super linea,cual es el numero de super linea
14085,gastar tarjeta,Cat_355,gastar tarjeta,gastar tarjeta
14086,cancelar deuda,Cat_192,cancelar deuda,cancelar deuda
14087,reclamé que no me había llegado mi resumen de tarjeta ni a mi mail como lo solicité y ni a mi domicilio,Cat_138,reclamé que no me había llegado mi resumen de tarjeta ni a mi mail como lo solicité y ni a mi domicilio,reclamo que no me había llegado mi resumen de tarjeta ni a mi mail como lo solicita y ni a mi domicilio
14088,factura aguar cordobés debitar,Cat_129,factura aguar cordobés debitar,factura aguar cordobes debitar
14089,consulta de limite de prestamo,Cat_236,consulta de limite de prestamo,consulta de limite de prestamo
14090,ustedes me llamaron y se corto la llamada,Cat_146,ustedes me llamaron y se corto la llamada,ustedes me llamaron y se corto la llamada
14091,color que preferis,Cat_8,color que preferis,color que preferir
14092,necesito saber porque no se me debita supercanal,Cat_129,necesito saber porque no se me debita supercanal,necesito saber porque no se me debita supercasa
14093,me cobraron un servicio del banco que tenía bonificado.,Cat_90,me cobraron un servicio del banco que tenía bonificado,me cobraron un servicio del banco que tenia bonificado
14094,necesito ultimos movimiento tarjeta credito,Cat_355,necesito ultimos movimiento tarjeta credito,necesito ultimo movimiento tarjeta credito
14095,como cambio mi vaucher de sube,Cat_333,como cambio mi vaucher de sube,como cambio mi vaucher de sube
14096,quiero regularizar credito prendario,Cat_192,quiero regularizar credito prendario,quiero regularizar credito prendario
14097,no me dan la clave santander. está mal el número de celular,Cat_1,no me dan la clave santander está mal el número de celular,no me dan la clave santander esto mal el número de celular
14098,necesito conocer el nro de cuenta depositante y el nro de subcuenta comitente,Cat_171,necesito conocer el nro de cuenta depositante y el nro de subcuenta comitente,necesito conocer el nro de cuenta depositante y el nro de subcuenta comitente
14099,incovenientes con olb,Cat_117,incovenientes con olb,inconvenientes con ola
14100,como veo mi resumen de cuenta?,Cat_138,como veo mi resumen de cuenta,como veo mi resumen de cuenta
14101,simuador de prestamo,Cat_251,simuador de prestamo,simulador de prestamo
14102,cuál es el costo del programa santander  aadvantage?,Cat_276,cuál es el costo del programa santander  aadvantage,cuál es el costo del programa santander advantage
14103,la informacion personal que se encuentra en el seguro es erronea,Cat_267,la informacion personal que se encuentra en el seguro es erronea,la informacion personal que se encuentra en el seguro es erronea
14104,necesito la tarjeta de debito,Cat_39,necesito la tarjeta de debito,necesito la tarjeta de debito
